"text","label","type","language","category","difficulty","generation_type"
"[Caller]: Hello sir, this is calling from Windows Support Center. Aap k computer mein critical error the tected hua hai.
[Recipient]: Achha, konsa error?
[Caller]: Sir agar hum abhi remote access nahi lete to aap ka data corrupt ho jaega, please open this website aur ye code type karein.
[Recipient]: Umm theek hai, ek second...","scam","call_transcript","mixed","tech_support_scam","hard","synthetic"
"[Caller]: Hi, this is calling from Bright Solutions HR, hum ne aapka resume shortlist kiya hai.
[Recipient]: Oh nice, thank you.
[Caller]: Aapka interview Thursday 11 AM hai, office address email pe bhej dete hain.
[Recipient]: Perfect, thank you so much.","safe","call_transcript","mixed","legit_job_offer","easy","synthetic"
"[Caller]: Hi, we saw your profile on LinkedIn, aap k experience k hisab se hum aapko ek remote part-time role offer kar rahe hain.
[Recipient]: Sounds interesting, salary kitni hogi?
[Caller]: 70,000 monthly, bas ek chota sa registration fee submit karna hoga onboarding kit k liye, refundable hai first salary k sath.
[Recipient]: Achha, kitna fee hai?","scam","call_transcript","mixed","linkedin_job_scam","borderline","synthetic"
"[Caller]: Hi, this is your rider, main aapke building k bahar hun, order deliver karna hai.
[Recipient]: Ok main abhi aata hun neeche.
[Caller]: Thank you, waiting hun.","safe","call_transcript","mixed","legit_delivery","easy","synthetic"
"[Caller]: Sir your parcel from Dubai is currently held at customs, thora sa duty fee pay karna hoga release k liye.
[Recipient]: Kitna hai fee?
[Caller]: Sirf 1500 rupay, main aapko payment link bhej deta hun abhi.
[Recipient]: Theek hai bhej dein.","scam","call_transcript","mixed","courier_customs_fee","borderline","synthetic"
"[Caller]: Hello, this is calling from TrustLink Bank, hum sirf confirm karna chahte hain ke aapne apni cheque book collect kar li hai ya nahi.
[Recipient]: Ji nahi, abhi tak nahi ki.
[Caller]: Theek hai, aap kabhi bhi apni nearest branch se collect kar sakte hain, koi urgency nahi hai.","safe","call_transcript","mixed","legit_bank_alert","easy","synthetic"
"[Caller]: Good afternoon, this is calling from Microsoft Technical Support. We've detected a serious virus on your computer.
[Recipient]: Oh no, what should I do?
[Caller]: Don't worry sir, just give me remote access to your PC and I'll clean it for you right now, free of cost.","scam","call_transcript","english","tech_support_scam","easy","synthetic"
"[Caller]: Hi, this is a reminder call from City Dental Clinic for your appointment tomorrow at 3 PM.
[Recipient]: Yes, I'll be there.
[Caller]: Great, see you then. Please arrive 10 minutes early for paperwork.","safe","call_transcript","english","legit_appointment","easy","synthetic"
"[Caller]: السلام علیکم، میں نیو کراچی ہاؤسنگ اسکیم سے بات کر رہا ہوں۔
[Recipient]: جی فرمائیے۔
[Caller]: ہمارے پاس ایک محدود آفر ہے، صرف پانچ ہزار روپے میں پلاٹ بک ہو سکتا ہے، قیمتیں اگلے ہفتے بڑھ جائیں گی۔
[Recipient]: اچھا، مجھے سوچنے دیں۔
[Caller]: جی مگر آفر آج رات ختم ہو رہی ہے، ابھی بکنگ کروا لیں۔","scam","call_transcript","urdu_script","real_estate_scam","borderline","synthetic"
"[Caller]: السلام علیکم، یہ احساس پروگرام کے رجسٹریشن سینٹر سے کال ہے۔
[Recipient]: جی بولیں۔
[Caller]: آپ کی درخواست موصول ہو گئی ہے، براہ کرم اپنے نزدیکی سینٹر تشریف لا کر بائیومیٹرک تصدیق کروا لیں، ہم فون پر کوئی کوڈ نہیں مانگتے۔
[Recipient]: جی ٹھیک ہے، شکریہ۔","safe","call_transcript","urdu_script","legit_bisp","easy","synthetic"
